entity_name,arc_name,relation_name,target_entity_name
Instrument Protection arrangement assignment,Instrument Protection arrangement assignment type,Hierarchy_724,Instrument Protection arrangement received assignment
Instrument Protection arrangement assignment,Instrument Protection arrangement assignment type,Hierarchy_723,Protection arrangement given Instrument assignment
Instrument role,Instrument role type,Hierarchy_381,Financial liability instrument
Instrument role,Instrument role type,Hierarchy_387,Off-balance sheet item given instrument
Instrument role,Instrument role type,Hierarchy_382,Collateral given instrument
Instrument role,Instrument role type,Hierarchy_388,Off-balance sheet item received instrument
Instrument role,Instrument role type,Hierarchy_379,Collateral received instrument
Instrument role,Instrument role type,Hierarchy_380,Financial asset instrument
Internal consolidation group,Internal consolidation group type,Hierarchy_60,Prudential consolidation group
Internal consolidation group,Internal consolidation group type,Hierarchy_59,Accounting consolidation group
Internal group,Internal group type,Hierarchy_61,Institutional unit
Internal group,Internal group type,Hierarchy_442,Subsidiary_ joint venture and associate
Internal group,Internal group type,Hierarchy_58,Internal consolidation group
International organisation and general government,International organisation and general government type,Hierarchy_31,General government
International organisation and general government,International organisation and general government type,Hierarchy_30,International organisation
Investment property taken into possession ,Investment property taken into possession type,Hierarchy_742,Residential Immovable property
Investment property taken into possession ,Investment property taken into possession type,Hierarchy_744,Other Immovable property
Investment property taken into possession ,Investment property taken into possession type,Hierarchy_745,Movable property
Investment property taken into possession ,Investment property taken into possession type,Hierarchy_749,Commercial immovable property related to land (excluding agricultural land)
Investment property taken into possession ,Investment property taken into possession type,Hierarchy_750,Commercial immovable property other than related to land (excluding agricultural land)
Issued debt security in the trading book,Issued debt security in the trading book accounting standard,Hierarchy_635v1,Issued debt security in the trading book national general accepted accounting principles (nGAAP)
Issued debt security in the trading book,Issued debt security in the trading book accounting standard,Hierarchy_634,Issued debt security in the trading book International Financial Reporting Standard (IFRS)
Issuer based rating system,Issuer based rating system type,Hierarchy_291,Non-central government rating system
Issuer based rating system,Issuer based rating system type,Hierarchy_292,Central government rating system
Legal person,Legal person type,Hierarchy_34,Organisation
Legal person,Legal person type,Hierarchy_9,Natural person
Loan,Loan type,Hierarchy_119,Financial lease
Loan,Loan type,Hierarchy_120,Trade receivable
Loan,Loan type,Hierarchy_130,Credit card debt
Loan,Loan type,Hierarchy_131,Other loan
Loan,Syndication or sub-participation member instrument indicator,Hierarchy_622v1,Syndication or sub-participation member instrument
Loan,Syndication or sub-participation member instrument indicator,Hierarchy_624,Non-syndicated contract nor sub-participation member instrument
Loan and advance,Loan and advance type,Hierarchy_67,Loan
Loan and advance,Loan and advance type,Hierarchy_68,Advance
Long/Short balance sheet recognised security position,Long/Short balance sheet recognised security position type,Hierarchy_765v1,Long balance sheet recognised security position
Long/Short balance sheet recognised security position,Long/Short balance sheet recognised security position type,Hierarchy_771,Short balance sheet recognised security position
Long balance sheet recognised security position,Long balance sheet recognised security position accounting standard type,Hierarchy_734,Long balance sheet recognised security position national general accepted accounting principles (nGAAP)
Long balance sheet recognised security position,Long balance sheet recognised security position accounting standard type,Hierarchy_753,Long balance sheet recognised security position International Financial Reporting Standard (IFRS)
Long balance sheet recognised security position prudential portfolio Accounting classification assignment,Long balance sheet recognised security position prudential portfolio Accounting classification assignment accounting standard type,Hierarchy_687,Long balance sheet recognised security position prudential portfolio Accounting classification assignment International Financial Reporting Standard (IFRS)
Long balance sheet recognised security position prudential portfolio Accounting classification assignment,Long balance sheet recognised security position prudential portfolio Accounting classification assignment accounting standard type,Hierarchy_759,Long balance sheet recognised security position prudential portfolio Accounting classification assignment national general accepted accounting principles (nGAAP)
Long balance sheet recognised security position prudential portfolio Accounting classification assignment,Long balance sheet recognised security position prudential portfolio Accounting classifcation assignment type,Hierarchy_779,Long balance sheet recognised equity or fund security position prudential portfolio Accounting classification assignment position
Long balance sheet recognised security position prudential portfolio Accounting classification assignment,Long balance sheet recognised security position prudential portfolio Accounting classifcation assignment type,Hierarchy_778,Long balance sheet recognised debt security position prudential portfolio Accounting classification assignment
Master agreement,Master agreement type,Hierarchy_364,Master agreement with a central counterparty
Master agreement,Master agreement type,Hierarchy_365,Master agreement with a clearing member
Master agreement Central counterparty assignment,Master agreement Central counterparty assignment type,Hierarchy_369,Master agreement Non-qualifying central counterparty assignment
Master agreement Central counterparty assignment,Master agreement Central counterparty assignment type,Hierarchy_368,Master agreement Qualifying central counterparty assignment
Master agreement Entity role assignment,Master agreement Entity role type,Hierarchy_366,Master agreement Central counterparty assignment
Master agreement Entity role assignment,Master agreement Entity role type,Hierarchy_367,Master agreement Clearing member assignment
Master agreement with a central counterparty,Master agreement with central counterparty type,Hierarchy_370,Master agreement with a qualifying central counterparty
Master agreement with a central counterparty,Master agreement with central counterparty type,Hierarchy_371,Master agreement with a non-qualified central counterparty
Natural person,Natural person type,Hierarchy_12,Self-employed natural person
Natural person,Natural person type,Hierarchy_13,Non-self-employed natural person
Non-balance sheet recognised financial asset instrument,Non-balance sheet recognised financial asset instrument by accounting standard,Hierarchy_695,Non-balance sheet recognised financial asset instrument according to International Financial Reporting Standard (IFRS)
Non-balance sheet recognised financial asset instrument,Non-balance sheet recognised financial asset instrument by accounting standard,Hierarchy_696,Non-balance sheet recognised financial asset instrument according to national general accepted accounting principles (nGAAP)
Non-balance sheet recognised security position ,Non-balance sheet recognised security position type,Hierarchy_770,Non-balance sheet recognised debt security position
Non-balance sheet recognised security position ,Non-balance sheet recognised security position type,Hierarchy_772,Non-balance sheet recognised equity or fund security position
Non-default financial asset instrument individually assessed,Non-default financial asset instrument individually assessed type,Hierarchy_496,Non-performing non-default financial asset instrument individually assessed
Non-default financial asset instrument individually assessed,Non-default financial asset instrument individually assessed type,Hierarchy_495,Performing non-default financial asset instrument individually assessed
Non-financial asset,Non-financial asset type,Hierarchy_324,Tax asset
Non-financial asset,Non-financial asset type,Hierarchy_330,Other non-financial asset
Non-financial asset,Non-financial asset type,Hierarchy_328,Other intangible asset
Non-financial asset,Non-financial asset type,Hierarchy_323,Goodwill
Non-financial asset,Non-financial asset type,Hierarchy_325,Investment property
Non-financial asset,Non-financial asset type,Hierarchy_738,Property_ plant and equipment
Non-financial asset and non-financial liability,Non-financial asset and non-financial liabilty type,Hierarchy_308,Non-financial liability
Non-financial asset and non-financial liability,Non-financial asset and non-financial liabilty type,Hierarchy_306,Non-financial asset
Non-financial liability,Non-financial liability type,Hierarchy_311,Share capital repayable on demand
Non-financial liability,Non-financial liability type,Hierarchy_314,Provision
Non-financial liability,Non-financial liability type,Hierarchy_310,Tax liability
Non-financial liability,Non-financial liability type,Hierarchy_321,Other non-financial liability
Non-retail exposure financial asset instrument,Non-retail exposure financial asset instrument type,Hierarchy_487,Non-performing non-retail exposure class financial asset instrument
Non-retail exposure financial asset instrument,Non-retail exposure financial asset instrument type,Hierarchy_486,Performing non-retail exposure class financial asset instrument
Off-balance instrument,Off-balance instrument type,Hierarchy_72,Other commitment
Off-balance instrument,Off-balance instrument type,Hierarchy_71,Financial guarantee instrument
Off-balance sheet item given instrument,Off-balance sheet item given instrument by forbearance status type,Hierarchy_632,Forborne off-balance sheet item given instrument
Off-balance sheet item given instrument,Off-balance sheet item given instrument by forbearance status type,Hierarchy_635,Non-forborne off-balance sheet item given instrument
Offices and commercial premises collateral,Offices and commercial premises collateral indicator,Hierarchy_587,Offices and commercial premises not related to land collateral
Offices and commercial premises collateral,Offices and commercial premises collateral indicator,Hierarchy_586,Offices and commercial premises related to land collateral
Offices and commercial premises related to land collateral,Agriculture land indicator,Hierarchy_588,Land including agriculture collateral
Offices and commercial premises related to land collateral,Agriculture land indicator,Hierarchy_590v1,Land excluding agriculture collateral
Organisation,Organisation type,Hierarchy_33,International organisation and general government
Organisation,Organisation type,Hierarchy_37,Central bank and private sector company
Organisation,Organisation type by legal proceeding status,Hierarchy_10,Organisation with legal proceeding
Organisation,Organisation type by legal proceeding status,Hierarchy_11,Organisation without legal proceeding
Organisational unit,Organisational unit type,Hierarchy_6,Investment vehicle / fund
Organisational unit,Organisational unit type,Hierarchy_5,Branch
Organisational unit,Organisational unit type,Hierarchy_7,Other organisational unit
Organisation role,Organisation role type,Hierarchy_142,Clearing member
Organisation role,Organisation role type,Hierarchy_143,Qualifying central counterparty (QCCP)
Organisation role,Organisation role type,Hierarchy_139,Master netting counterparty
Organisation role,Organisation role type,Hierarchy_40,Securitisation special purpose entity (SSPE)
Organisation role,Organisation role type,Hierarchy_36,Sponsor
Organisation role,Organisation role type,Hierarchy_144,Non-qualifying central counterparty
Organisation role,Organisation role type,Hierarchy_414,Security debtor
Other deposit,Other deposit type,Hierarchy_128,Deposit with agreed maturity
Other deposit,Other deposit type,Hierarchy_129,Deposit redeemable at notice
Overnight deposit,Overnight deposit type,Hierarchy_125,Transferable deposit
Overnight deposit,Overnight deposit type,Hierarchy_126,Other overnight deposit
Over the counter (OTC) Derivative as a hedge,Over the counter (OTC) Derivative hedge accounting standard type,Hierarchy_716,Over the counter (OTC) Derivative as a hedge according to International Financial Reporting Standard (IFRS)
Over the counter (OTC) Derivative as a hedge,Over the counter (OTC) Derivative hedge accounting standard type,Hierarchy_717,Over the counter (OTC) Derivative as a hedge according to national general accepted accounting principles (nGAAP)
Over the counter (OTC) Derivative instrument,Over the counter (OTC) Derivative instrument type,Hierarchy_79,Over the counter (OTC) Swap
Over the counter (OTC) Derivative instrument,Over the counter (OTC) Derivative instrument type,Hierarchy_82,Other over the counter (OTC) Derivative instrument
Over the counter (OTC) Derivative instrument,Over the counter (OTC) Derivative instrument type,Hierarchy_80,Over the counter (OTC) Option
Over the counter (OTC) Derivative instrument,Over the counter (OTC) Derivative instrument type,Hierarchy_81,Over the counter (OTC) Forward
Over the counter (OTC) Option,Over the counter (OTC) Option type,Hierarchy_103,Over the counter (OTC) Option other than Over the counter (OTC) Credit spread option
Over the counter (OTC) Option,Over the counter (OTC) Option type,Hierarchy_102,Over the counter (OTC) Credit spread option
Over the counter (OTC) Swap,Over the counter (OTC) Swap type,Hierarchy_83,Over the counter (OTC) Total return swap
Over the counter (OTC) Swap,Over the counter (OTC) Swap type,Hierarchy_84,Over the counter (OTC) Credit default swap
Over the counter (OTC) Swap,Over the counter (OTC) Swap type,Hierarchy_85,Other over the counter (OTC) Swap
Party,Party type by address,Hierarchy_547,No registered Postal Code system party
Party,Party type by address,Hierarchy_548,Registered postal code system party
Party,Party type,Hierarchy_3,Organisational unit
Party,Party type,Hierarchy_35,Legal person
Party code,Party code type,Hierarchy_619,Legal entity identifier party code
Party code,Party code type,Hierarchy_620,Other party code
Party code,Party code type,Hierarchy_623,Register of Institutions and Affiliates Database (RIAD) party code
Party role,Party role type,Hierarchy_427,Borrower
Party role,Party role type,Hierarchy_41,Originator
Party role,Party role type,Hierarchy_137,Lessee
Party role,Party role type,Hierarchy_136,Lessor
Party role,Party role type,Hierarchy_46,Loan debtor
Party role,Party role type,Hierarchy_133,Seller
Party role,Party role type,Hierarchy_47,Servicer
Party role,Party role type,Hierarchy_135,Factor
Party role,Party role type,Hierarchy_266,Investor
Party role,Party role type,Hierarchy_45,Creditor
Party role,Party role type,Hierarchy_44,Depositor
Party role,Party role type,Hierarchy_42,Issuer
Party role,Party role type,Hierarchy_426,Beneficiary
Party role,Party role type,Hierarchy_43,Deposit-taking corporation
Party role,Party role type,Hierarchy_141,Central counterparty client
Party role,Party role type,Hierarchy_48,Protection provider
Party role,Party role type,Hierarchy_132,Original lender
Party role,Party role type,Hierarchy_134,Buyer
Party role,Party role type,Hierarchy_428,Lender
Party role,Party role type,Hierarchy_138,Swap provider
Party role,Party role type,Hierarchy_625v1,Payment agent
Party role,Party role type,Hierarchy_735v2,Guarantor
Physical collateral,Physical collateral type,Hierarchy_187,Real estate collateral
Physical collateral,Physical collateral type,Hierarchy_181,Inventory collateral
Physical collateral,Physical collateral type,Hierarchy_180,Machinery and equipment collateral
Physical collateral,Physical collateral type,Hierarchy_182,Commodity collateral
Physical collateral,Physical collateral type,Hierarchy_183,Other physical collateral
Physical collateral,Physical collateral type,Hierarchy_188,Ship collateral
Physical collateral,Physical collateral type,Hierarchy_186,Aircraft collateral
Physical collateral,Physical collateral type,Hierarchy_179,Rolling stock collateral
Postal code,Postal code type,Hierarchy_528,European Union member postal code
Postal code,Postal code type,Hierarchy_529,Non-European Union member postal code
Protection arrangement,Protection arrangement type,Hierarchy_363,Collateral annex
Protection arrangement,Protection arrangement type,Hierarchy_362,Credit risk mitigation arrangement
Protection arrangement role,Protection arrangement role type,Hierarchy_720,Protection arrangement given
Protection arrangement role,Protection arrangement role type,Hierarchy_719,Protection arrangement received
Provision,Provision type,Hierarchy_316,Employee benefit
Provision,Provision type,Hierarchy_315,Funds for general banking risk
Provision,Provision type,Hierarchy_322,Other provision
Provision,Provision type,Hierarchy_317,Restructuring
Provision,Provision type,Hierarchy_318,Pending legal issues and tax litigation
Rating grade,Rating grade type,Hierarchy_293,Rating grade for issue-based rating system
Rating grade,Rating grade type,Hierarchy_294,Rating grade for issuer based rating system
Rating grade for issuer based rating system,Rating grade for issuer based rating system type,Hierarchy_296,Rating grade for issuer based rating system for central government
Rating grade for issuer based rating system,Rating grade for issuer based rating system type,Hierarchy_295,Rating grade for issuer based rating system for non-central government
Rating system,Rating system type by nature (Grade vs. Numeric),Hierarchy_289,Graded rating system
Rating system,Rating system type by nature (Grade vs. Numeric),Hierarchy_290,Numeric rating system
Rating system,Rating system type by target (Issue vs. Issuer based),Hierarchy_287,Issuer based rating system
Rating system,Rating system type by target (Issue vs. Issuer based),Hierarchy_288,Issue-based rating system
Real estate collateral,Real estate collateral location type,Hierarchy_189,Real estate collateral located in a member state
Real estate collateral,Real estate collateral location type,Hierarchy_190,Real estate collateral not located in a member state
Real estate collateral,Real estate collateral type,Hierarchy_563,Residential real estate collateral
Real estate collateral,Real estate collateral type,Hierarchy_564,Commercial real estate and offices and commercial premises collateral
Registered Postal Code system country,Registered Postal Code system country type,Hierarchy_522,European Union member country
Registered Postal Code system country,Registered Postal Code system country type,Hierarchy_523,Non-European Union member country
Registered postal code system party,Registered postal code system party type,Hierarchy_545,European Union member party
Registered postal code system party,Registered postal code system party type,Hierarchy_546,Non-European Union member party
Renegotiated credit facility,Renegotiated credit facility with forbearance measure indicator,Hierarchy_757,Renegotiated credit facility with forbearance measure
Renegotiated credit facility,Renegotiated credit facility with forbearance measure indicator,Hierarchy_758,Renegotiated credit facility without forbearance measure
Renegotiated debt security,Renegotiated debt security with forbearance measure indicator,Hierarchy_751v1,Renegotiated debt security with forbearance measure
Renegotiated debt security,Renegotiated debt security with forbearance measure indicator,Hierarchy_752v1,Renegotiated debt security without forbearance measure
Renegotiated financial asset instrument,Renegotiated financial asset instrument type,Hierarchy_507,Renegotiated financial asset instrument with forbearance measure
Renegotiated financial asset instrument,Renegotiated financial asset instrument type,Hierarchy_506,Renegotiated financial asset instrument without forbearance measure
Repurchase transaction,Repurchase transaction type,Hierarchy_118,Open repurchase transaction
Repurchase transaction,Repurchase transaction type,Hierarchy_117,Term repurchase transaction
Retail exposure class financial asset instrument,Retail exposure class financial asset instrument type,Hierarchy_484,Financial asset instrument individually assessed
Retail exposure class financial asset instrument,Retail exposure class financial asset instrument type,Hierarchy_485,Financial asset instrument debtor assessed
Risk factor for standardised approach,Risk class,Hierarchy_568,General interest rate risk (GIRR) factor for standardised approach
Risk factor for standardised approach,Risk class,Hierarchy_565,Commodity risk factor for standardised approach
Risk factor for standardised approach,Risk class,Hierarchy_566,Foreign exchange risk factor for standardised approach
Risk factor for standardised approach,Risk class,Hierarchy_569,Credit spread risk (CSR) non-securitisation risk factor for standardised approach
Risk factor for standardised approach,Risk class,Hierarchy_586v1,Securitisation correlation trading portfolio (CTP) Risk Factor for standardised approach
Risk factor for standardised approach,Risk class,Hierarchy_570,Securitisation non-correlation trading portfolio_ (non-CTP) Risk Factor for standardised approach
Risk factor for standardised approach,Risk class,Hierarchy_567v1,Equity risk factor for standardised approach
Securitisation,Securitisation type,Hierarchy_264,Traditional securitisation
Securitisation,Securitisation type,Hierarchy_265,Synthetic securitisation
Securitisation,Significant risk transfer indicator,Hierarchy_616,Significant risk transfer securitisation
Securitisation,Significant risk transfer indicator,Hierarchy_615,Not significant risk transfer securitisation
Securitisation and other credit transfer,Securitisation and other credit transfer type,Hierarchy_263,Credit transfer other than securitisation and covered bond programme
Securitisation and other credit transfer,Securitisation and other credit transfer type,Hierarchy_262,Securitisation
Securitisation and other credit transfer,Securitisation and other credit transfer type,Hierarchy_261,Covered bond programme
Securitisation tranche,Securitisation tranche type,Hierarchy_572v1,Tranche in a Traditional securitisation
Securitisation tranche,Securitisation tranche type,Hierarchy_577,Tranche in a synthetic securitisation
Security,Security type by product,Hierarchy_221,Debt security
Security,Security type by product,Hierarchy_220,Equity and fund security
Security,Security type by identifier,Hierarchy_225,Non-International securities identification number security
Security,Security type by identifier,Hierarchy_224,International securities identification number security
Security/Security Collateral lending component,Security/Security Collateral lending component indicator,Hierarchy_715v1,Security collateral lending component
Security/Security Collateral lending component,Security/Security Collateral lending component indicator,Hierarchy_714,Security lending component
Security and exchange tradable derivative,Security and exchange tradable derivative type,Hierarchy_218,Exchange tradable derivative
Security and exchange tradable derivative,Security and exchange tradable derivative type,Hierarchy_219,Security
Security borrowing and lending transaction,Security borrowing and lending transaction type,Hierarchy_112,Security against a fee borrowing and lending transaction
Security borrowing and lending transaction,Security borrowing and lending transaction type,Hierarchy_111,Security against Security borrowing and lending transaction
Security borrowing and lending transaction component,Security borrowing and lending transaction component type by Security type,Hierarchy_232,Debt security borrowing and lending transaction component
Security borrowing and lending transaction component,Security borrowing and lending transaction component type by Security type,Hierarchy_233,Equity or fund security borrowing and lending transaction component
Security borrowing and lending transaction component,Security borrowing and lending transaction component type by direction,Hierarchy_114,Security/Security Collateral lending component
Security borrowing and lending transaction component,Security borrowing and lending transaction component type by direction,Hierarchy_113,Security borrowing component
Security borrowing and lending transaction including cash as collateral component,Securities borrowing and lending transaction including cash as collateral component type,Hierarchy_116,Security borrowing and lending transaction cash as collateral component
Security borrowing and lending transaction including cash as collateral component,Securities borrowing and lending transaction including cash as collateral component type,Hierarchy_115,Security borrowing and lending transaction component
Security Entity role assignment,Security Entity role assignment type,Hierarchy_230,Security Issuer assignment
Security Entity role assignment,Security Entity role assignment type,Hierarchy_231,Debt security Debtor assignment
Security Entity role assignment,Security Entity role assignment type,Hierarchy_736v2,Guarantor Debt security assignment
Security position hedged by Over the counter (OTC) derivative,Security position hedged by Over the counter (OTC) derivative type,Hierarchy_441,Equity or fund security position hedged by Over the counter (OTC) derivative
Security position hedged by Over the counter (OTC) derivative,Security position hedged by Over the counter (OTC) derivative type,Hierarchy_440,Debt security position hedged by Over the counter (OTC) derivative
Short balance sheet recognised security position,Short balance sheet recognised security position accounting standard type,Hierarchy_774,Short balance sheet recognised security position national general accepted accounting principles (nGAAP)
Short balance sheet recognised security position,Short balance sheet recognised security position accounting standard type,Hierarchy_773,Short balance sheet recognised security position International Financial Reporting Standard (IFRS)
Subsidiary_ joint venture and associate Other organisation role assignment,Subsidiary_ joint venture and associate Other organisation assignment type,Hierarchy_446,Subsidiary_ joint venture and associate Subsidiary assignment
Subsidiary_ joint venture and associate Other organisation role assignment,Subsidiary_ joint venture and associate Other organisation assignment type,Hierarchy_447,Subsidiary_ joint venture and associate Associate assignment
Subsidiary_ joint venture and associate Other organisation role assignment,Subsidiary_ joint venture and associate Other organisation assignment type,Hierarchy_448,Subsidiary_ joint venture and associate Joint venture assignment
Synthetic securitisation,Synthetic securitisation type,Hierarchy_270,Synthetic securitisation involving an SSPE
Synthetic securitisation,Synthetic securitisation type,Hierarchy_269,Synthetic securitisation without involvement of an SSPE
Tax asset,Tax asset type,Hierarchy_326,Current tax asset
Tax asset,Tax asset type,Hierarchy_327,Deferred tax asset
Tax liability,Tax liability type,Hierarchy_312,Current tax liability
Tax liability,Tax liability type,Hierarchy_313,Deferred tax liability
Trade receivable,Trade receivable type,Hierarchy_121,Factoring
Trade receivable,Trade receivable type,Hierarchy_122,Other trade receivable
Tranche in a synthetic securitisation,Tranche in a synthetic securitisation type,Hierarchy_571,Tranche in a synthetic securitisation without securitisation special purpose entity (SSPE)
Tranche in a synthetic securitisation,Tranche in a synthetic securitisation type,Hierarchy_598,Tranche in a synthetic securitisation with Securitisation Special Purpose Entity (SSPE)
Tranche in a synthetic securitisation without securitisation special purpose entity (SSPE),Tranche in a synthetic securitisation without securitisation special purpose entity (SSPE) type,Hierarchy_274,Tranche in a synthetic securitisation without securitisation special purpose entity (SSPE) being a deposit
Tranche in a synthetic securitisation without securitisation special purpose entity (SSPE),Tranche in a synthetic securitisation without securitisation special purpose entity (SSPE) type,Hierarchy_273,Tranche in a synthetic securitisation without securitisation special purpose entity (SSPE) being a financial guarantee
